Season,Episode,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
season-01,e1-Winter is Coming,0.0880281690140845,0.05985915492957746,0.0,0.1426056338028169,0.04929577464788732,0.18661971830985916,0.15933098591549297,0.08450704225352113,0.06690140845070422,0.0721830985915493,0.09066901408450705
season-01,e10-Fire and Blood,0.09325946445060018,0.06001846722068329,0.0,0.12096029547553093,0.05355493998153278,0.18559556786703602,0.16435826408125578,0.08494921514312095,0.06463527239150507,0.0729455216989843,0.0997229916897507
season-01,e2-The Kings Road,0.09906152241918666,0.0667361835245047,0.0,0.1334723670490094,0.047966631908237745,0.19290928050052136,0.17205422314911367,0.06986444212721585,0.058394160583941604,0.07820646506777894,0.08133472367049009
season-01,e3-Lord Snow,0.09567617295308188,0.06899724011039558,0.0,0.13155473781048757,0.046918123275068994,0.16651333946642136,0.17939282428702852,0.078196872125115,0.0671573137074517,0.078196872125115,0.08739650413983441
season-01,e4-Cripples Bastards and Broken Things,0.1005586592178771,0.05746209098164405,0.0,0.1380686352753392,0.04549082202713488,0.189146049481245,0.160415003990423,0.07741420590582601,0.05905826017557861,0.0782122905027933,0.09417398244213887
season-01,e5-The Wolf and The Lion,0.10294117647058823,0.06985294117647059,0.0,0.15073529411764705,0.04191176470588235,0.17205882352941176,0.175,0.07426470588235294,0.060294117647058824,0.07058823529411765,0.08235294117647059
season-01,e6-A Golden Crown,0.09801876955161627,0.072992700729927,0.0,0.145985401459854,0.035453597497393116,0.23044838373305526,0.14494264859228362,0.06569343065693431,0.05735140771637122,0.06986444212721585,0.07924921793534932
season-01,e7-You Win or You Die,0.08953900709219859,0.06382978723404255,0.0,0.17375886524822695,0.04964539007092199,0.18617021276595744,0.15070921985815602,0.06382978723404255,0.06294326241134751,0.06648936170212766,0.09308510638297872
season-01,e8-The Pointy End,0.09902370990237098,0.07043235704323571,0.0,0.14574616457461645,0.045327754532775454,0.17433751743375175,0.17154811715481172,0.07531380753138076,0.0697350069735007,0.06694560669456066,0.08158995815899582
season-01,e9-Baelor,0.0971540726202159,0.06967615309126594,0.0,0.13052011776251227,0.052011776251226695,0.1717369970559372,0.1844946025515211,0.08243375858684986,0.047105004906771344,0.08047105004906771,0.08439646712463199
season-02,e1-The North Remembers,0.0829090909090909,0.05745454545454545,0.0,0.144,0.04218181818181818,0.208,0.1658181818181818,0.07636363636363637,0.06618181818181817,0.07709090909090908,0.08
season-02,e10-Valar Morghulis,0.10722989439480098,0.07311129163281885,0.0,0.11697806661251016,0.05199025182778229,0.17384240454914704,0.17059301380991065,0.08448415922014622,0.054427294882209584,0.07636068237205523,0.09098294069861901
season-02,e2-The Night Lands,0.08623969562460368,0.05580215599239061,0.0,0.14965123652504755,0.04755865567533291,0.20545339251743816,0.14901712111604312,0.06785034876347495,0.055168040583386174,0.09384908053265695,0.08941027266962587
season-02,e3-What is Dead May Never Die,0.11122345803842265,0.0839231547017189,0.0,0.11122345803842265,0.03943377148634985,0.1557128412537917,0.19817997977755308,0.08796764408493428,0.07381193124368049,0.06268958543983821,0.07583417593528817
season-02,e4-Garden of Bones,0.09693165969316597,0.06694560669456066,0.0,0.14086471408647142,0.04602510460251046,0.199442119944212,0.15760111576011157,0.07810320781032078,0.05509065550906555,0.07531380753138076,0.08368200836820083
season-02,e5-The Ghost Of Harrenhal,0.09211495946941783,0.06853352984524687,0.0,0.13264554163596168,0.0449521002210759,0.19307295504789979,0.16801768607221812,0.07000736919675755,0.06632277081798084,0.06779661016949153,0.09653647752394989
season-02,e6-The Old Gods and the New,0.10685805422647528,0.07416267942583732,0.0,0.12599681020733652,0.03987240829346093,0.1682615629984051,0.18899521531100477,0.08054226475279107,0.06937799043062201,0.06379585326953748,0.08213716108452951
season-02,e7-A Man Without Honor,0.10463483146067416,0.0723314606741573,0.0,0.12148876404494383,0.03932584269662921,0.18398876404494383,0.16362359550561797,0.08426966292134831,0.06601123595505617,0.07443820224719101,0.0898876404494382
season-02,e8-The Prince of Winterfell,0.10846153846153846,0.07,0.0,0.13153846153846155,0.03769230769230769,0.19076923076923077,0.1753846153846154,0.07384615384615385,0.05384615384615385,0.07153846153846154,0.08692307692307692
season-02,e9-Blackwater,0.12102404965089217,0.09231962761830877,0.0,0.09775019394879751,0.048875096974398756,0.1768813033359193,0.18076027928626842,0.07370054305663305,0.0504266873545384,0.06594259115593483,0.09231962761830877
season-03,e1-Valar Dohaeris,0.09924190213645762,0.0771881461061337,0.0,0.12474155754651964,0.04135079255685734,0.19710544452102,0.15851137146795313,0.0771881461061337,0.05995864920744314,0.0771881461061337,0.08752584424534804
season-03,e10-Mhysa,0.09067579127459367,0.0504704875962361,0.0,0.12745936698032506,0.0504704875962361,0.20444824636441403,0.15312232677502138,0.05902480752780154,0.058169375534645,0.08896492728828058,0.11719418306244654
season-03,e2-Dark Wings Dark Words,0.1111764705882353,0.07235294117647059,0.0,0.10352941176470588,0.052941176470588235,0.17823529411764705,0.17470588235294118,0.08588235294117647,0.060588235294117644,0.07764705882352942,0.08294117647058824
season-03,e3-Walk of Punishment,0.08145849495733126,0.06982156710628394,0.0,0.12800620636152055,0.05120248254460822,0.18541505042668735,0.17532971295577968,0.06904577191621412,0.06283941039565555,0.08145849495733126,0.09542280837858805
season-03,e4-And Now His Watch is Ended,0.11837048424289008,0.0930053804765565,0.0,0.10607225211375865,0.04611837048424289,0.16295157571099156,0.17909300538047657,0.09146810146041506,0.06840891621829362,0.06379707916986933,0.07071483474250577
season-03,e5-Kissed by Fire,0.09829059829059829,0.07336182336182336,0.0,0.11965811965811966,0.05626780626780627,0.19017094017094016,0.15883190883190884,0.07051282051282051,0.05698005698005698,0.08974358974358974,0.08618233618233619
season-03,e6-The Climb,0.08967851099830795,0.06345177664974619,0.0,0.12774957698815567,0.06006768189509306,0.19627749576988154,0.14890016920473773,0.0676818950930626,0.050761421319796954,0.10236886632825719,0.09306260575296109
season-03,e7-The Bear and the Maiden Fair,0.10239162929745889,0.07473841554559044,0.0,0.12481315396113603,0.03736920777279522,0.20179372197309417,0.15396113602391628,0.07324364723467862,0.05530642750373692,0.08370702541106129,0.09267563527653214
season-03,e8-Second Sons,0.0912863070539419,0.06639004149377593,0.0,0.13443983402489626,0.04896265560165975,0.2008298755186722,0.15269709543568466,0.07219917012448132,0.054771784232365145,0.0937759336099585,0.08464730290456432
season-03,e9-The Rains of Castamere,0.08983218163869694,0.05330700888450148,0.0,0.1362290227048371,0.049358341559723594,0.21421520236920039,0.15301085883514315,0.07996051332675222,0.05824284304047384,0.08292201382033564,0.08292201382033564
season-04,e1-Two Swords,0.1049902786779002,0.07193778353856124,0.0,0.1289695398574206,0.046662346079066754,0.18729747245625405,0.15359688917692807,0.08619572261827609,0.053791315618924175,0.07582631237848347,0.09073233959818536
season-04,e10-The Children,0.1061061061061061,0.08108108108108109,0.0,0.12112112112112113,0.04104104104104104,0.17717717717717718,0.17417417417417416,0.06106106106106106,0.06906906906906907,0.08008008008008008,0.0890890890890891
season-04,e2-The Lion and the Rose,0.08498023715415019,0.06389986824769434,0.0,0.1225296442687747,0.05533596837944664,0.21541501976284586,0.13570487483530963,0.06785243741765482,0.05862977602108037,0.0981554677206851,0.09749670619235837
season-04,e3-Breaker of Chains,0.09949164851125636,0.07334785766158315,0.0,0.14451706608569354,0.04429920116194626,0.19026870007262164,0.16194625998547568,0.07697893972403776,0.06245461147421932,0.06753812636165578,0.07915758896151052
season-04,e4-Oathkeeper,0.07526881720430108,0.05698924731182796,0.0,0.14731182795698924,0.053763440860215055,0.1989247311827957,0.13548387096774195,0.06666666666666667,0.05268817204301075,0.1086021505376344,0.1043010752688172
season-04,e5-First of His Name,0.09965635738831616,0.09106529209621993,0.0,0.12714776632302405,0.03436426116838488,0.19329896907216496,0.18127147766323023,0.08505154639175258,0.06099656357388316,0.061855670103092786,0.06529209621993128
season-04,e6-The Laws of God and Men,0.10357815442561205,0.0847457627118644,0.0,0.12523540489642185,0.0480225988700565,0.17702448210922786,0.16666666666666666,0.096045197740113,0.0583804143126177,0.064030131826742,0.07627118644067797
season-04,e7-Mockingbird,0.09640397857689365,0.061208875286916604,0.0,0.12547819433817903,0.03519510328997705,0.18439173680183626,0.15837796480489671,0.10022953328232594,0.06579954093343535,0.08569242540168324,0.08722264728385616
season-04,e8-The Mountain and the Viper,0.1270718232044199,0.07320441988950276,0.0,0.13121546961325967,0.03867403314917127,0.18093922651933703,0.16988950276243095,0.08701657458563536,0.05386740331491713,0.058011049723756904,0.08011049723756906
season-04,e9-The Watchers on the Wall,0.09977827050997783,0.07427937915742794,0.0,0.14523281596452328,0.043237250554323724,0.21729490022172948,0.11862527716186252,0.06541019955654102,0.05432372505543237,0.08869179600886919,0.09312638580931264
season-05,e1,0.09257473481195758,0.07232401157184185,0.0,0.11764705882352941,0.04725168756027001,0.16875602700096431,0.15911282545805208,0.09161041465766634,0.06075216972034716,0.08100289296046287,0.10896817743490839
season-05,e10,0.07987220447284345,0.059637912673056445,0.0,0.15761448349307774,0.05005324813631523,0.2268370607028754,0.13738019169329074,0.0670926517571885,0.03727369542066028,0.08945686900958466,0.09478168264110756
season-05,e2,0.07775377969762419,0.06263498920086392,0.0,0.1396688264938805,0.06623470122390208,0.2087832973362131,0.13606911447084233,0.07055435565154787,0.0482361411087113,0.09143268538516919,0.09863210943124551
season-05,e3,0.09674922600619196,0.07430340557275542,0.0,0.11455108359133127,0.05572755417956656,0.17414860681114552,0.17337461300309598,0.07662538699690402,0.05185758513931889,0.07972136222910217,0.10294117647058823
season-05,e4,0.09441624365482233,0.07208121827411168,0.0,0.10558375634517767,0.049746192893401014,0.1847715736040609,0.1736040609137056,0.09035532994923857,0.048730964467005075,0.07715736040609138,0.10355329949238579
season-05,e5,0.07995846313603323,0.07995846313603323,0.0,0.14018691588785046,0.05088265835929388,0.20041536863966772,0.1536863966770509,0.06230529595015576,0.05088265835929388,0.07372793354101766,0.10799584631360332
season-05,e6,0.09874152952565343,0.0803484995159729,0.0,0.10842207163601161,0.04743465634075508,0.19167473378509198,0.16940948693126814,0.07938044530493708,0.05421103581800581,0.08131655372700872,0.08906098741529525
season-05,e7,0.115748031496063,0.07322834645669292,0.0,0.14409448818897638,0.04409448818897638,0.18188976377952756,0.15433070866141732,0.07244094488188976,0.04330708661417323,0.06299212598425197,0.1078740157480315
season-05,e8,0.10414560161779575,0.07482305358948432,0.0,0.12234580384226491,0.043478260869565216,0.19009100101112233,0.16177957532861476,0.06370070778564206,0.055611729019211326,0.07684529828109202,0.10717896865520728
season-05,e9,0.08886810102899906,0.08793264733395698,0.0,0.13564078578110383,0.03928905519176801,0.17025257249766138,0.17867165575304023,0.08419083255378859,0.06454630495790459,0.06922357343311505,0.0813844714686623
season-06,e1,0.08121827411167512,0.06725888324873096,0.0,0.13578680203045684,0.05203045685279188,0.1916243654822335,0.16624365482233502,0.06979695431472081,0.050761421319796954,0.08375634517766498,0.10152284263959391
season-06,e10,0.09784735812133072,0.07045009784735812,0.0,0.15362035225048923,0.04207436399217221,0.19471624266144813,0.1634050880626223,0.07729941291585127,0.04794520547945205,0.06947162426614481,0.08317025440313111
season-06,e2,0.08110992529348986,0.0768409818569904,0.0,0.1344717182497332,0.06296691568836713,0.18890074706510138,0.14834578441835647,0.07790821771611527,0.042689434364994665,0.08110992529348986,0.1056563500533618
season-06,e3,0.09118236472945891,0.06212424849699399,0.0,0.15531062124248496,0.05511022044088176,0.19238476953907815,0.1462925851703407,0.07014028056112225,0.052104208416833664,0.07114228456913828,0.10420841683366733
season-06,e4,0.09736632083000799,0.06225059856344772,0.0,0.15003990422984836,0.05027932960893855,0.2202713487629689,0.13567438148443736,0.0670391061452514,0.04229848363926576,0.07741420590582601,0.09736632083000799
season-06,e5,0.0863674851820491,0.05419136325148179,0.0,0.14225232853513972,0.060118543607112614,0.20152413209144793,0.1380186282811177,0.07366638441998306,0.05165114309906858,0.09144792548687553,0.10076206604572396
season-06,e6,0.09417808219178082,0.07705479452054795,0.0,0.125,0.04280821917808219,0.1952054794520548,0.17123287671232876,0.08647260273972603,0.06078767123287671,0.06506849315068493,0.0821917808219178
season-06,e7,0.09558823529411764,0.07352941176470588,0.0,0.15196078431372548,0.04411764705882353,0.22426470588235295,0.15931372549019607,0.05759803921568627,0.051470588235294115,0.06495098039215687,0.07720588235294118
season-06,e8,0.12391573729863693,0.08798017348203221,0.0,0.13382899628252787,0.04399008674101611,0.16047087980173483,0.18835192069392812,0.08240396530359356,0.052664188351920695,0.052664188351920695,0.07372986369268897
season-06,e9,0.09789156626506024,0.0677710843373494,0.0,0.14006024096385541,0.04819277108433735,0.17620481927710843,0.14156626506024098,0.07379518072289157,0.07530120481927711,0.08283132530120482,0.0963855421686747
season-07,e1,0.11301989150090416,0.06600361663652803,0.0,0.1546112115732369,0.04430379746835443,0.1980108499095841,0.14828209764918626,0.06871609403254973,0.045207956600361664,0.06962025316455696,0.0922242314647378
season-07,e2,0.11009174311926606,0.07339449541284404,0.0,0.13196894848270996,0.03175723359209598,0.21100917431192662,0.14255469301340862,0.06986591390261115,0.04798870853916726,0.08186309103740297,0.0995059985885674
season-07,e3,0.12379421221864952,0.09083601286173633,0.0,0.10289389067524116,0.04662379421221865,0.18408360128617363,0.17845659163987138,0.06913183279742766,0.04983922829581994,0.06109324758842444,0.0932475884244373
season-07,e4,0.1136890951276102,0.05568445475638051,0.0,0.14617169373549885,0.04524361948955916,0.2088167053364269,0.14965197215777262,0.07424593967517401,0.042923433874709975,0.06612529002320186,0.09744779582366589
season-07,e5,0.10745098039215686,0.07372549019607844,0.0,0.13568627450980392,0.04470588235294118,0.1811764705882353,0.1796078431372549,0.06901960784313725,0.050980392156862744,0.07372549019607844,0.08392156862745098
season-07,e6,0.10412147505422993,0.07158351409978309,0.0,0.1475054229934924,0.052060737527114966,0.18872017353579176,0.16052060737527116,0.08676789587852494,0.04121475054229935,0.06941431670281996,0.07809110629067245
season-07,e7,0.1091703056768559,0.06441048034934498,0.0,0.13864628820960698,0.06222707423580786,0.2019650655021834,0.14192139737991266,0.06768558951965066,0.04694323144104803,0.07860262008733625,0.08842794759825327
season-08,e1,0.10935601458080195,0.07654921020656136,0.0,0.1227217496962333,0.053462940461725394,0.19562575941676794,0.1543134872417983,0.07168894289185905,0.04738760631834751,0.06804374240583232,0.10085054678007291
season-08,e2,0.0891089108910891,0.0594059405940594,0.0,0.135013501350135,0.05670567056705671,0.207020702070207,0.15031503150315031,0.0711071107110711,0.041404140414041404,0.0927092709270927,0.09720972097209721
season-08,e3,0.125,0.08333333333333333,0.0,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664
season-08,e4,0.118042226487524,0.07773512476007678,0.0,0.1238003838771593,0.05182341650671785,0.1871401151631478,0.16554702495201534,0.08301343570057582,0.05038387715930902,0.0609404990403071,0.08157389635316699
